status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Startup,2613,false,true,best,0,18,chart,expected-best-steady-state,m1
Warmup,1621,false,false,best,1,18,chart,expected-best-steady-state,m1
Warmup,1543,false,false,best,2,18,chart,expected-best-steady-state,m1
Warmup,1540,false,false,best,3,18,chart,expected-best-steady-state,m1
Steady-state,1543,true,false,best,4,18,chart,expected-best-steady-state,m1
Startup,2645,false,true,best,0,19,chart,expected-best-steady-state,m1
Warmup,1612,false,false,best,1,19,chart,expected-best-steady-state,m1
Warmup,1558,false,false,best,2,19,chart,expected-best-steady-state,m1
Warmup,1552,false,false,best,3,19,chart,expected-best-steady-state,m1
Steady-state,1554,true,false,best,4,19,chart,expected-best-steady-state,m1
Startup,2611,false,true,best,0,0,chart,expected-best-startup,m1
Warmup,1594,false,false,best,1,0,chart,expected-best-startup,m1
Warmup,1596,false,false,best,2,0,chart,expected-best-startup,m1
Warmup,1559,false,false,best,3,0,chart,expected-best-startup,m1
Steady-state,1607,true,false,best,4,0,chart,expected-best-startup,m1
Startup,2614,false,true,best,0,1,chart,expected-best-startup,m1
Warmup,1645,false,false,best,1,1,chart,expected-best-startup,m1
Warmup,1561,false,false,best,2,1,chart,expected-best-startup,m1
Warmup,1551,false,false,best,3,1,chart,expected-best-startup,m1
Steady-state,1548,true,false,best,4,1,chart,expected-best-startup,m1
Startup,2604,false,true,best,0,2,chart,expected-best-startup,m1
Warmup,1653,false,false,best,1,2,chart,expected-best-startup,m1
Warmup,1568,false,false,best,2,2,chart,expected-best-startup,m1
Warmup,1560,false,false,best,3,2,chart,expected-best-startup,m1
Steady-state,1559,true,false,best,4,2,chart,expected-best-startup,m1
Startup,2603,false,true,best,0,3,chart,expected-best-startup,m1
Warmup,1662,false,false,best,1,3,chart,expected-best-startup,m1
Warmup,1563,false,false,best,2,3,chart,expected-best-startup,m1
Warmup,1562,false,false,best,3,3,chart,expected-best-startup,m1
Steady-state,1556,true,false,best,4,3,chart,expected-best-startup,m1
Startup,2613,false,true,best,0,4,chart,expected-best-startup,m1
Warmup,1622,false,false,best,1,4,chart,expected-best-startup,m1
Warmup,1580,false,false,best,2,4,chart,expected-best-startup,m1
Warmup,1565,false,false,best,3,4,chart,expected-best-startup,m1
