status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,1564,false,false,ortho,3,15,chart,8->hashmap,m1
Steady-state,1595,true,false,ortho,4,15,chart,8->hashmap,m1
Startup,2657,false,true,ortho,0,16,chart,8->hashmap,m1
Warmup,1628,false,false,ortho,1,16,chart,8->hashmap,m1
Warmup,1564,false,false,ortho,2,16,chart,8->hashmap,m1
Warmup,1563,false,false,ortho,3,16,chart,8->hashmap,m1
Steady-state,1554,true,false,ortho,4,16,chart,8->hashmap,m1
Startup,2637,false,true,ortho,0,17,chart,8->hashmap,m1
Warmup,1614,false,false,ortho,1,17,chart,8->hashmap,m1
Warmup,1564,false,false,ortho,2,17,chart,8->hashmap,m1
Warmup,1563,false,false,ortho,3,17,chart,8->hashmap,m1
Steady-state,1596,true,false,ortho,4,17,chart,8->hashmap,m1
Startup,2650,false,true,ortho,0,18,chart,8->hashmap,m1
Warmup,1623,false,false,ortho,1,18,chart,8->hashmap,m1
Warmup,1571,false,false,ortho,2,18,chart,8->hashmap,m1
Warmup,1591,false,false,ortho,3,18,chart,8->hashmap,m1
Steady-state,1548,true,false,ortho,4,18,chart,8->hashmap,m1
Startup,2638,false,true,ortho,0,19,chart,8->hashmap,m1
Warmup,1640,false,false,ortho,1,19,chart,8->hashmap,m1
Warmup,1573,false,false,ortho,2,19,chart,8->hashmap,m1
Warmup,1564,false,false,ortho,3,19,chart,8->hashmap,m1
Steady-state,1558,true,false,ortho,4,19,chart,8->hashmap,m1
Startup,2697,false,true,original,0,0,chart,original,m1
Warmup,1638,false,false,original,1,0,chart,original,m1
Warmup,1577,false,false,original,2,0,chart,original,m1
Warmup,1561,false,false,original,3,0,chart,original,m1
Steady-state,1561,true,false,original,4,0,chart,original,m1
Startup,2608,false,true,original,0,1,chart,original,m1
Warmup,1650,false,false,original,1,1,chart,original,m1
Warmup,1582,false,false,original,2,1,chart,original,m1
Warmup,1568,false,false,original,3,1,chart,original,m1
Steady-state,1562,true,false,original,4,1,chart,original,m1
Startup,2600,false,true,original,0,2,chart,original,m1
Warmup,1658,false,false,original,1,2,chart,original,m1
Warmup,1598,false,false,original,2,2,chart,original,m1
