status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,596,false,false,best+original,4,6,lusearch,expected-best-steady-state+original,m1
Warmup,522,false,false,best+original,5,6,lusearch,expected-best-steady-state+original,m1
Warmup,507,false,false,best+original,6,6,lusearch,expected-best-steady-state+original,m1
Warmup,506,false,false,best+original,7,6,lusearch,expected-best-steady-state+original,m1
Steady-state,555,true,false,best+original,8,6,lusearch,expected-best-steady-state+original,m1
Startup,1898,false,true,best+original,0,7,lusearch,expected-best-steady-state+original,m1
Warmup,623,false,false,best+original,1,7,lusearch,expected-best-steady-state+original,m1
Warmup,527,false,false,best+original,2,7,lusearch,expected-best-steady-state+original,m1
Warmup,561,false,false,best+original,3,7,lusearch,expected-best-steady-state+original,m1
Warmup,622,false,false,best+original,4,7,lusearch,expected-best-steady-state+original,m1
Warmup,590,false,false,best+original,5,7,lusearch,expected-best-steady-state+original,m1
Warmup,520,false,false,best+original,6,7,lusearch,expected-best-steady-state+original,m1
Warmup,517,false,false,best+original,7,7,lusearch,expected-best-steady-state+original,m1
Warmup,587,false,false,best+original,8,7,lusearch,expected-best-steady-state+original,m1
Warmup,502,false,false,best+original,9,7,lusearch,expected-best-steady-state+original,m1
Warmup,546,false,false,best+original,10,7,lusearch,expected-best-steady-state+original,m1
Warmup,540,false,false,best+original,11,7,lusearch,expected-best-steady-state+original,m1
Warmup,545,false,false,best+original,12,7,lusearch,expected-best-steady-state+original,m1
Steady-state,586,true,false,best+original,13,7,lusearch,expected-best-steady-state+original,m1
Startup,1941,false,true,best+original,0,8,lusearch,expected-best-steady-state+original,m1
Warmup,644,false,false,best+original,1,8,lusearch,expected-best-steady-state+original,m1
Warmup,544,false,false,best+original,2,8,lusearch,expected-best-steady-state+original,m1
Warmup,542,false,false,best+original,3,8,lusearch,expected-best-steady-state+original,m1
Warmup,597,false,false,best+original,4,8,lusearch,expected-best-steady-state+original,m1
Warmup,577,false,false,best+original,5,8,lusearch,expected-best-steady-state+original,m1
Warmup,517,false,false,best+original,6,8,lusearch,expected-best-steady-state+original,m1
Warmup,507,false,false,best+original,7,8,lusearch,expected-best-steady-state+original,m1
Warmup,574,false,false,best+original,8,8,lusearch,expected-best-steady-state+original,m1
Warmup,506,false,false,best+original,9,8,lusearch,expected-best-steady-state+original,m1
Warmup,522,false,false,best+original,10,8,lusearch,expected-best-steady-state+original,m1
Warmup,619,false,false,best+original,11,8,lusearch,expected-best-steady-state+original,m1
Warmup,561,false,false,best+original,12,8,lusearch,expected-best-steady-state+original,m1
Warmup,551,false,false,best+original,13,8,lusearch,expected-best-steady-state+original,m1
Warmup,533,false,false,best+original,14,8,lusearch,expected-best-steady-state+original,m1
Steady-state,494,true,false,best+original,15,8,lusearch,expected-best-steady-state+original,m1
Startup,1882,false,true,best+original,0,9,lusearch,expected-best-steady-state+original,m1
Warmup,668,false,false,best+original,1,9,lusearch,expected-best-steady-state+original,m1
Warmup,524,false,false,best+original,2,9,lusearch,expected-best-steady-state+original,m1
Warmup,583,false,false,best+original,3,9,lusearch,expected-best-steady-state+original,m1
Warmup,596,false,false,best+original,4,9,lusearch,expected-best-steady-state+original,m1
Warmup,567,false,false,best+original,5,9,lusearch,expected-best-steady-state+original,m1
Steady-state,513,true,false,best+original,6,9,lusearch,expected-best-steady-state+original,m1
Startup,2270,false,true,best+original,0,10,lusearch,expected-best-steady-state+original,m1
Warmup,862,false,false,best+original,1,10,lusearch,expected-best-steady-state+original,m1
Warmup,589,false,false,best+original,2,10,lusearch,expected-best-steady-state+original,m1
Warmup,583,false,false,best+original,3,10,lusearch,expected-best-steady-state+original,m1
Warmup,526,false,false,best+original,4,10,lusearch,expected-best-steady-state+original,m1
Warmup,561,false,false,best+original,5,10,lusearch,expected-best-steady-state+original,m1
Warmup,531,false,false,best+original,6,10,lusearch,expected-best-steady-state+original,m1
Steady-state,510,true,false,best+original,7,10,lusearch,expected-best-steady-state+original,m1
Startup,1815,false,true,best+original,0,11,lusearch,expected-best-steady-state+original,m1
Warmup,721,false,false,best+original,1,11,lusearch,expected-best-steady-state+original,m1
Warmup,544,false,false,best+original,2,11,lusearch,expected-best-steady-state+original,m1
Warmup,554,false,false,best+original,3,11,lusearch,expected-best-steady-state+original,m1
Warmup,561,false,false,best+original,4,11,lusearch,expected-best-steady-state+original,m1
Steady-state,548,true,false,best+original,5,11,lusearch,expected-best-steady-state+original,m1
Startup,1781,false,true,best+original,0,12,lusearch,expected-best-steady-state+original,m1
Warmup,808,false,false,best+original,1,12,lusearch,expected-best-steady-state+original,m1
Warmup,593,false,false,best+original,2,12,lusearch,expected-best-steady-state+original,m1
Warmup,526,false,false,best+original,3,12,lusearch,expected-best-steady-state+original,m1
Warmup,575,false,false,best+original,4,12,lusearch,expected-best-steady-state+original,m1
Warmup,512,false,false,best+original,5,12,lusearch,expected-best-steady-state+original,m1
Warmup,531,false,false,best+original,6,12,lusearch,expected-best-steady-state+original,m1
Warmup,508,false,false,best+original,7,12,lusearch,expected-best-steady-state+original,m1
Steady-state,538,true,false,best+original,8,12,lusearch,expected-best-steady-state+original,m1
Startup,1847,false,true,best+original,0,13,lusearch,expected-best-steady-state+original,m1
Warmup,583,false,false,best+original,1,13,lusearch,expected-best-steady-state+original,m1
Warmup,541,false,false,best+original,2,13,lusearch,expected-best-steady-state+original,m1
Warmup,565,false,false,best+original,3,13,lusearch,expected-best-steady-state+original,m1
Warmup,637,false,false,best+original,4,13,lusearch,expected-best-steady-state+original,m1
Warmup,536,false,false,best+original,5,13,lusearch,expected-best-steady-state+original,m1
Warmup,516,false,false,best+original,6,13,lusearch,expected-best-steady-state+original,m1
Warmup,534,false,false,best+original,7,13,lusearch,expected-best-steady-state+original,m1
Steady-state,563,true,false,best+original,8,13,lusearch,expected-best-steady-state+original,m1
Startup,1863,false,true,best+original,0,14,lusearch,expected-best-steady-state+original,m1
Warmup,606,false,false,best+original,1,14,lusearch,expected-best-steady-state+original,m1
Warmup,553,false,false,best+original,2,14,lusearch,expected-best-steady-state+original,m1
Warmup,561,false,false,best+original,3,14,lusearch,expected-best-steady-state+original,m1
Warmup,601,false,false,best+original,4,14,lusearch,expected-best-steady-state+original,m1
Warmup,517,false,false,best+original,5,14,lusearch,expected-best-steady-state+original,m1
Warmup,510,false,false,best+original,6,14,lusearch,expected-best-steady-state+original,m1
Warmup,517,false,false,best+original,7,14,lusearch,expected-best-steady-state+original,m1
Steady-state,568,true,false,best+original,8,14,lusearch,expected-best-steady-state+original,m1
Startup,1877,false,true,best+original,0,15,lusearch,expected-best-steady-state+original,m1
Warmup,628,false,false,best+original,1,15,lusearch,expected-best-steady-state+original,m1
Warmup,538,false,false,best+original,2,15,lusearch,expected-best-steady-state+original,m1
Warmup,549,false,false,best+original,3,15,lusearch,expected-best-steady-state+original,m1
Warmup,570,false,false,best+original,4,15,lusearch,expected-best-steady-state+original,m1
Steady-state,551,true,false,best+original,5,15,lusearch,expected-best-steady-state+original,m1
Startup,1907,false,true,best+original,0,16,lusearch,expected-best-steady-state+original,m1
Warmup,652,false,false,best+original,1,16,lusearch,expected-best-steady-state+original,m1
Warmup,558,false,false,best+original,2,16,lusearch,expected-best-steady-state+original,m1
Warmup,561,false,false,best+original,3,16,lusearch,expected-best-steady-state+original,m1
Warmup,598,false,false,best+original,4,16,lusearch,expected-best-steady-state+original,m1
Warmup,542,false,false,best+original,5,16,lusearch,expected-best-steady-state+original,m1
Warmup,526,false,false,best+original,6,16,lusearch,expected-best-steady-state+original,m1
Warmup,525,false,false,best+original,7,16,lusearch,expected-best-steady-state+original,m1
Steady-state,630,true,false,best+original,8,16,lusearch,expected-best-steady-state+original,m1
Startup,1928,false,true,best+original,0,17,lusearch,expected-best-steady-state+original,m1
Warmup,629,false,false,best+original,1,17,lusearch,expected-best-steady-state+original,m1
Warmup,566,false,false,best+original,2,17,lusearch,expected-best-steady-state+original,m1
Warmup,570,false,false,best+original,3,17,lusearch,expected-best-steady-state+original,m1
Warmup,591,false,false,best+original,4,17,lusearch,expected-best-steady-state+original,m1
Steady-state,539,true,false,best+original,5,17,lusearch,expected-best-steady-state+original,m1
Startup,1853,false,true,best+original,0,18,lusearch,expected-best-steady-state+original,m1
Warmup,726,false,false,best+original,1,18,lusearch,expected-best-steady-state+original,m1
Warmup,547,false,false,best+original,2,18,lusearch,expected-best-steady-state+original,m1
Warmup,579,false,false,best+original,3,18,lusearch,expected-best-steady-state+original,m1
Warmup,612,false,false,best+original,4,18,lusearch,expected-best-steady-state+original,m1
Warmup,547,false,false,best+original,5,18,lusearch,expected-best-steady-state+original,m1
Warmup,514,false,false,best+original,6,18,lusearch,expected-best-steady-state+original,m1
Warmup,528,false,false,best+original,7,18,lusearch,expected-best-steady-state+original,m1
Steady-state,588,true,false,best+original,8,18,lusearch,expected-best-steady-state+original,m1
Startup,2076,false,true,best+original,0,19,lusearch,expected-best-steady-state+original,m1
Warmup,704,false,false,best+original,1,19,lusearch,expected-best-steady-state+original,m1
Warmup,562,false,false,best+original,2,19,lusearch,expected-best-steady-state+original,m1
Warmup,570,false,false,best+original,3,19,lusearch,expected-best-steady-state+original,m1
Warmup,608,false,false,best+original,4,19,lusearch,expected-best-steady-state+original,m1
Warmup,564,false,false,best+original,5,19,lusearch,expected-best-steady-state+original,m1
Warmup,521,false,false,best+original,6,19,lusearch,expected-best-steady-state+original,m1
