status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Startup,4203,false,true,best,0,18,avrora,expected-best-steady-state,m1
Warmup,3743,false,false,best,1,18,avrora,expected-best-steady-state,m1
Warmup,3648,false,false,best,2,18,avrora,expected-best-steady-state,m1
Warmup,3649,false,false,best,3,18,avrora,expected-best-steady-state,m1
Steady-state,3637,true,false,best,4,18,avrora,expected-best-steady-state,m1
Startup,4151,false,true,best,0,19,avrora,expected-best-steady-state,m1
Warmup,3690,false,false,best,1,19,avrora,expected-best-steady-state,m1
Warmup,3617,false,false,best,2,19,avrora,expected-best-steady-state,m1
Warmup,3605,false,false,best,3,19,avrora,expected-best-steady-state,m1
Steady-state,3636,true,false,best,4,19,avrora,expected-best-steady-state,m1
Startup,4202,false,true,best,0,0,avrora,expected-best-startup,m1
Warmup,3713,false,false,best,1,0,avrora,expected-best-startup,m1
Warmup,3633,false,false,best,2,0,avrora,expected-best-startup,m1
Warmup,3625,false,false,best,3,0,avrora,expected-best-startup,m1
Steady-state,3605,true,false,best,4,0,avrora,expected-best-startup,m1
Startup,4229,false,true,best,0,1,avrora,expected-best-startup,m1
Warmup,3698,false,false,best,1,1,avrora,expected-best-startup,m1
Warmup,3645,false,false,best,2,1,avrora,expected-best-startup,m1
Warmup,3647,false,false,best,3,1,avrora,expected-best-startup,m1
Steady-state,3610,true,false,best,4,1,avrora,expected-best-startup,m1
Startup,4236,false,true,best,0,2,avrora,expected-best-startup,m1
Warmup,3721,false,false,best,1,2,avrora,expected-best-startup,m1
Warmup,3639,false,false,best,2,2,avrora,expected-best-startup,m1
Warmup,3608,false,false,best,3,2,avrora,expected-best-startup,m1
Steady-state,3593,true,false,best,4,2,avrora,expected-best-startup,m1
Startup,4164,false,true,best,0,3,avrora,expected-best-startup,m1
Warmup,3749,false,false,best,1,3,avrora,expected-best-startup,m1
Warmup,3623,false,false,best,2,3,avrora,expected-best-startup,m1
Warmup,3635,false,false,best,3,3,avrora,expected-best-startup,m1
Steady-state,3623,true,false,best,4,3,avrora,expected-best-startup,m1
Startup,4207,false,true,best,0,4,avrora,expected-best-startup,m1
Warmup,3673,false,false,best,1,4,avrora,expected-best-startup,m1
Warmup,3608,false,false,best,2,4,avrora,expected-best-startup,m1
Warmup,3629,false,false,best,3,4,avrora,expected-best-startup,m1
Steady-state,3600,true,false,best,4,4,avrora,expected-best-startup,m1
Startup,4204,false,true,best,0,5,avrora,expected-best-startup,m1
Warmup,3714,false,false,best,1,5,avrora,expected-best-startup,m1
Warmup,3642,false,false,best,2,5,avrora,expected-best-startup,m1
Warmup,3628,false,false,best,3,5,avrora,expected-best-startup,m1
Steady-state,3604,true,false,best,4,5,avrora,expected-best-startup,m1
Startup,4187,false,true,best,0,6,avrora,expected-best-startup,m1
Warmup,3690,false,false,best,1,6,avrora,expected-best-startup,m1
Warmup,3608,false,false,best,2,6,avrora,expected-best-startup,m1
Warmup,3618,false,false,best,3,6,avrora,expected-best-startup,m1
Steady-state,3612,true,false,best,4,6,avrora,expected-best-startup,m1
Startup,4197,false,true,best,0,7,avrora,expected-best-startup,m1
Warmup,3768,false,false,best,1,7,avrora,expected-best-startup,m1
Warmup,3641,false,false,best,2,7,avrora,expected-best-startup,m1
Warmup,3647,false,false,best,3,7,avrora,expected-best-startup,m1
Steady-state,3632,true,false,best,4,7,avrora,expected-best-startup,m1
Startup,4145,false,true,best,0,8,avrora,expected-best-startup,m1
Warmup,3748,false,false,best,1,8,avrora,expected-best-startup,m1
Warmup,3664,false,false,best,2,8,avrora,expected-best-startup,m1
Warmup,3644,false,false,best,3,8,avrora,expected-best-startup,m1
Steady-state,3642,true,false,best,4,8,avrora,expected-best-startup,m1
Startup,4185,false,true,best,0,9,avrora,expected-best-startup,m1
Warmup,3748,false,false,best,1,9,avrora,expected-best-startup,m1
Warmup,3613,false,false,best,2,9,avrora,expected-best-startup,m1
Warmup,3649,false,false,best,3,9,avrora,expected-best-startup,m1
