status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,1433,false,false,best,2,13,bloat,expected-best-steady-state,m1
Warmup,1308,false,false,best,3,13,bloat,expected-best-steady-state,m1
Warmup,1204,false,false,best,4,13,bloat,expected-best-steady-state,m1
Warmup,1184,false,false,best,5,13,bloat,expected-best-steady-state,m1
Warmup,1179,false,false,best,6,13,bloat,expected-best-steady-state,m1
Steady-state,1188,true,false,best,7,13,bloat,expected-best-steady-state,m1
Startup,2288,false,true,best,0,14,bloat,expected-best-steady-state,m1
Warmup,1622,false,false,best,1,14,bloat,expected-best-steady-state,m1
Warmup,1210,false,false,best,2,14,bloat,expected-best-steady-state,m1
Warmup,1176,false,false,best,3,14,bloat,expected-best-steady-state,m1
Warmup,1183,false,false,best,4,14,bloat,expected-best-steady-state,m1
Steady-state,1167,true,false,best,5,14,bloat,expected-best-steady-state,m1
Startup,2331,false,true,best,0,15,bloat,expected-best-steady-state,m1
Warmup,1611,false,false,best,1,15,bloat,expected-best-steady-state,m1
Warmup,1304,false,false,best,2,15,bloat,expected-best-steady-state,m1
Warmup,1184,false,false,best,3,15,bloat,expected-best-steady-state,m1
Warmup,1169,false,false,best,4,15,bloat,expected-best-steady-state,m1
Warmup,1162,false,false,best,5,15,bloat,expected-best-steady-state,m1
Steady-state,1148,true,false,best,6,15,bloat,expected-best-steady-state,m1
Startup,2210,false,true,best,0,16,bloat,expected-best-steady-state,m1
Warmup,1597,false,false,best,1,16,bloat,expected-best-steady-state,m1
Warmup,1208,false,false,best,2,16,bloat,expected-best-steady-state,m1
Warmup,1170,false,false,best,3,16,bloat,expected-best-steady-state,m1
Warmup,1181,false,false,best,4,16,bloat,expected-best-steady-state,m1
Steady-state,1163,true,false,best,5,16,bloat,expected-best-steady-state,m1
Startup,2281,false,true,best,0,17,bloat,expected-best-steady-state,m1
Warmup,1661,false,false,best,1,17,bloat,expected-best-steady-state,m1
Warmup,1231,false,false,best,2,17,bloat,expected-best-steady-state,m1
Warmup,1208,false,false,best,3,17,bloat,expected-best-steady-state,m1
Warmup,1208,false,false,best,4,17,bloat,expected-best-steady-state,m1
Steady-state,1200,true,false,best,5,17,bloat,expected-best-steady-state,m1
Startup,2221,false,true,best,0,18,bloat,expected-best-steady-state,m1
Warmup,1580,false,false,best,1,18,bloat,expected-best-steady-state,m1
Warmup,1187,false,false,best,2,18,bloat,expected-best-steady-state,m1
Warmup,1144,false,false,best,3,18,bloat,expected-best-steady-state,m1
Warmup,1157,false,false,best,4,18,bloat,expected-best-steady-state,m1
Steady-state,1140,true,false,best,5,18,bloat,expected-best-steady-state,m1
Startup,2300,false,true,best,0,19,bloat,expected-best-steady-state,m1
Warmup,1550,false,false,best,1,19,bloat,expected-best-steady-state,m1
Warmup,1272,false,false,best,2,19,bloat,expected-best-steady-state,m1
Warmup,1129,false,false,best,3,19,bloat,expected-best-steady-state,m1
Warmup,1139,false,false,best,4,19,bloat,expected-best-steady-state,m1
Warmup,1126,false,false,best,5,19,bloat,expected-best-steady-state,m1
Steady-state,1121,true,false,best,6,19,bloat,expected-best-steady-state,m1
Startup,2089,false,true,best,0,0,bloat,expected-best-startup,m1
Warmup,1656,false,false,best,1,0,bloat,expected-best-startup,m1
Warmup,1399,false,false,best,2,0,bloat,expected-best-startup,m1
Warmup,1345,false,false,best,3,0,bloat,expected-best-startup,m1
Warmup,1347,false,false,best,4,0,bloat,expected-best-startup,m1
Steady-state,1323,true,false,best,5,0,bloat,expected-best-startup,m1
Startup,2111,false,true,best,0,1,bloat,expected-best-startup,m1
Warmup,1606,false,false,best,1,1,bloat,expected-best-startup,m1
Warmup,1389,false,false,best,2,1,bloat,expected-best-startup,m1
Warmup,1347,false,false,best,3,1,bloat,expected-best-startup,m1
Warmup,1348,false,false,best,4,1,bloat,expected-best-startup,m1
Steady-state,1343,true,false,best,5,1,bloat,expected-best-startup,m1
Startup,2118,false,true,best,0,2,bloat,expected-best-startup,m1
Warmup,1587,false,false,best,1,2,bloat,expected-best-startup,m1
Warmup,1580,false,false,best,2,2,bloat,expected-best-startup,m1
Warmup,1345,false,false,best,3,2,bloat,expected-best-startup,m1
Warmup,1337,false,false,best,4,2,bloat,expected-best-startup,m1
Warmup,1316,false,false,best,5,2,bloat,expected-best-startup,m1
